Chord,Word,Rank
amy,may,127
em,me,41
aemn,mean,130
emn,men,95
himt,might,182
ghimt,might,182
ilm,mile,790
eilm,mile,790
ims,miss,596
ims<DUP>,miss,596
mor,more,83
emor,more,83
most,most,168
hmort,mother,279
ehmort,mother,279
mt<DUP>,mountain,1097
mnotu,mountain,1097
mnotu<DUP>,mountain,1097
aimnnotu,mountain,1097
emo,move,227
mov,move,227
emov,move,227
hmu,much,148
chmu,much,148
mstu,must,228
my,my,36
en,name,262
aen,name,262
aenr,near,
en,need,107
nrv,never,132
enrv,never,132
enw,new,100
entx,next,221
ghin,night,208
n<DUP>,no,85
not,not,23
now,now,72
mnu,number,211
bemnru,number,211
fo,of,5
o<DUP>,off,195
efot,often,335
fnot,often,335
efnot,often,335
ilo,oil,645
lo,oil,645
dlo,old,174
no,on,18
ceno,once,343
eno,one,60
loy,only,112
lnoy,only,112
eop,open,392
enop,open,392
or,or,32
ehot,other,74
ehort,other,74
ou,our,76
oru,our,76
otu,out,59
eov,over,142
eorv,over,142
ow,own,160
gp,page,624
aegp,page,624
aep,paper,585
aepr,paper,585
apr,part,183
aprt,part,183
lp,people,62
elop,people,62
cip,picture,
ceiprtu,picture,
aclp,place,186
acelp,place,186
alp,plant,821
lnp,plant,821
npt,plant,821
alnpt,plant,821
alpy,play,196
nopt,point,193
inopt,point,193
ptu,put,153
gq,question,206
-?,question,206
eqsu,question,206
einoqstu,question,206
kq,quick,1272
kqu,quick,1272
cikq,quick,1272
cikqu,quick,1272
klqy,quickly,1272
klquy,quickly,1272
iklquy,quickly,1272
ciklquy,quickly,1272
eiqt,quite,532
eiqtu,quite,532
adr,read,244
ader,read,244
alry,really,114
aelry,really,114
alry<DUP>,really,114
aelry<DUP>,really,114
ghir,right,118
ghirt,right,118
irv,river,960
eirv,river,960
irv<DUP>,river,960
nru,run,202
ais,said,26
adis,said,26
aems,same,158
asw,saw,56
s<DUP>,say,26
asy,say,26
as,say,26
chlos,school,146
c<DUP>,sea,1124
aes,sea,1124
ces,second,400
cdenos,second,400
es<DUP>,see,56
ems<DUP>,seem,181
ems,seem,181
censt,sentence,1912
est,set,339
ehs,she,35
hosu,should,110
hlosu,should,110
dhlosu,should,110
hosw,show,177
dis,side,286
deis,side,286
ams,small,248
alms,small,248
alms<DUP>,small,248
os,so,48
mos,some,67
emos,some,67
ehmost,something,123
eghmnost,something,123
eghimnost,something,123
emost,sometime,4686
gnos,song,749
nos<DUP>,soon,2311
nosu,sound,697
dnosu,sound,697
lps,spell,4173
elps,spell,4173
rst,start,162
arst<DUP>,start,162
es,state,147
aestt,state,147
ist<DUP>,still,128
ilst<DUP>,still,128
ost,stop,257
opst,stop,257
rst,story,224
orsty,story,224
dstu,study,259
chsu,such,200
ekt,take,63
aekt,take,63
klt,talk,149
aklt,talk,149
elt<DUP>,tell,92
hnt,than,80
ahnt,than,80
ht,that,13
aht,that,13
et,the,1
hirt,their,46
ehirt,their,46
ehmt,them,66
ehnt,then,79
eht,there,55
ehrt,there,55
ehst,these,84
ehty,they,25
ghint,thing,86
hiknt,think,53
st,this,19
hist,this,19
ehost,those,104
ghotu,thought,
3[Space],three,163
ehrt<DUP>,three,163
hrtu,through,129
ghortu,through,129
imt,time,54
eimt,time,54
ot,to,6
eghot,together,330
eghort,together,330
ot<DUP>,too,124
kot,took,63
kot<DUP>,took,63
ert,tree,718
rt<DUP>,tree,718
rty,try,121
nrtu,turn,197
otw,two,90
denu,under,253
denru,under,253
ntu,until,316
ilntu,until,316
pu,up,52
su,us,102
esu,use,91
rvy,very,105
ervy,very,105
aflw,walk,384
aklw,walk,384
anw,want,68
antw,want,68
aw,was,5
atw,watch,315
ahtw,watch,315
htw,water,287
rtw,water,287
aertw,water,287
awy,way,82
ew,we,21
elw,well,87
elw<DUP>,well,87
ntw,went,31
entw,went,31
rw,were,2
erw,were,2
erw<DUP>,were,2
ahw,what,28
ehnw,when,70
hrw,where,157
ehrw,where,157
hiw<DUP>,which,71
hiw,which,71
hilw,while,161
ehilw,while,161
ehitw,white,386
hw,who,44
y<DUP>,why,117
hwy,why,117
ilw<DUP>,will,47
hitw,with,17
tw,without,214
hituw,without,214
hiottuw,without,214
dorw,word,241
orw,work,115
korw,work,115
dlorw,world,134
dlouw,would,49
irtw,write,212
ry,year,64
aey,year,64
uy,you,9
ouy,you,9
gnouy,young,288
oruy,your,42
